Island,FieldPeriodID,BreedGroupID,Status,BirdID,NSA_Birds,TerritoryNumber
CN,34,616,NSA,1808,1,69
CN,34,635,NSA,1808,1,112
CN,35,2874,NSA,1762,1,1.1
CN,35,2879,NSA,2966,1,5
CN,35,2882,NSA,2988,1,7
CN,35,2890,NSA,2966,1,18
CN,35,2892,NSA,1872,1,20
CN,35,2928,NSA,1712,1,52.1
CN,35,2933,NSA,2991,1,56
CN,35,2934,NSA,2982,1,57.1
CN,35,2935,NSA,1780,1,58
CN,35,2956,NSA,1829,1,82.1
CN,35,2957,NSA,1829,1,83
CN,35,2963,NSA,1798,1,92.1
CN,35,2976,NSA,1272,1,111
CN,35,2977,NSA,1872,1,114
CN,37,663,NSA,3015,1,18
CN,37,741,NSA,3089,1,94.2
CN,37,748,NSA,3015,1,111
CN,39,3036,NSA,3134,1,10
CN,39,3038,NSA,930,1,12
CN,39,3038,NSA,1485,1,12
CN,39,3039,NSA,1511,1,15
CN,39,3040,NSA,1511,1,16
CN,39,3044,NSA,1531,1,20
CN,39,3047,NSA,1491,1,23
CN,39,3054,NSA,3134,1,30.1
CN,39,3062,NSA,1368,1,37
CN,39,3066,NSA,1549,1,43
CN,39,3069,NSA,1549,1,46
CN,39,3070,NSA,1551,1,46.2
CN,39,3076,NSA,1531,1,51
CN,39,3077,NSA,1494,1,51.1
CN,39,3081,NSA,1566,1,53.1
CN,39,3090,NSA,1489,1,60.1
CN,39,3096,NSA,472,1,68
CN,39,3100,NSA,1488,1,76
CN,39,3102,NSA,1566,1,78
CN,39,3103,NSA,1564,1,80
CN,39,3110,NSA,1551,1,85
CN,39,3120,NSA,1524,1,95
CN,39,3124,NSA,1489,1,102
CN,40,3134,NSA,1419,1,1
CN,40,3143,NSA,930,1,7
CN,40,3146,NSA,1576,1,10
CN,40,3146,NSA,3134,1,10
CN,40,3148,NSA,930,1,12
CN,40,3150,NSA,1419,1,16
CN,40,3152,NSA,1500,1,18
CN,40,3166,NSA,1500,1,30.1
CN,40,3166,NSA,3134,1,30.1
CN,40,3170,NSA,1590,1,33.1
CN,40,3171,NSA,1561,1,34
CN,40,3175,NSA,1368,1,37
CN,40,3180,NSA,1549,1,43
CN,40,3181,NSA,1561,1,44
CN,40,3183,NSA,1549,1,46
CN,40,3187,NSA,453,1,48
CN,40,3187,NSA,869,1,48
CN,40,3208,NSA,1579,1,64
CN,40,3210,NSA,1581,1,67
CN,40,3211,NSA,472,1,68
CN,40,3212,NSA,1580,1,69
CN,40,3215,NSA,1580,1,76
CN,40,3217,NSA,1576,1,77.1
CN,40,3221,NSA,1597,1,82
CN,40,3227,NSA,1541,1,87
CN,40,3232,NSA,1581,1,92.1
CN,40,3245,NSA,1271,1,111
CN,40,3245,NSA,1272,1,111
CN,41,776,NSA,1419,1,1
CN,41,790,NSA,1419,1,16
CN,41,803,NSA,1213,1,33.1
CN,41,804,NSA,1561,1,34
CN,41,814,NSA,453,1,48
CN,41,814,NSA,869,1,48
CN,41,826,NSA,1579,1,64
CN,41,841,NSA,1541,1,87
CN,41,3261,NSA,1561,1,44
CN,41,3265,NSA,1213,1,47.1
CN,41,3342,NSA,1579,1,117
CN,54,5784,NSA,1762,1,10
CN,54,6300,NSA,3614,1,41.1
CN,77,3880,NSA,3085,1,2
CN,77,3880,NSA,4882,1,2
CN,77,3881,NSA,1804,1,3
CN,77,3890,NSA,4863,1,10
CN,77,3892,NSA,3085,1,15
CN,77,3896,NSA,3449,1,19
CN,77,3906,NSA,3017,1,28.1
CN,77,3917,NSA,4860,1,38
CN,77,3922,NSA,4934,1,43
CN,77,3937,NSA,3516,1,53
CN,77,3943,NSA,3590,1,58
CN,77,3943,NSA,4886,1,58
CN,77,3947,NSA,4862,1,62
CN,77,3962,NSA,3578,1,81
CN,77,3969,NSA,3700,1,87.1
CN,77,3970,NSA,3700,1,88
CN,77,3971,NSA,4862,1,92
CN,77,3971,NSA,4863,1,92
CN,77,3981,NSA,3578,1,103.1
CN,77,3992,NSA,4879,1,122
CN,77,3994,NSA,3017,1,124
CN,77,7011,NSA,3590,1,127
CN,82,4198,NSA,4964,1,8
CN,82,4200,NSA,4863,1,10
CN,82,4227,NSA,4860,1,38
CN,82,4229,NSA,4964,1,41
CN,82,4262,NSA,4935,1,65
CN,82,4264,NSA,4935,1,67
CN,82,4283,NSA,4863,1,92
CN,85,4325,NSA,4863,1,10
CN,85,4334,NSA,1857,1,22
CN,85,4343,NSA,4970,1,30.1
CN,85,4343,NSA,5141,1,30.1
CN,85,4348,NSA,5009,1,33.1
CN,85,4373,NSA,5008,1,53.1
CN,85,4377,NSA,5008,1,57.1
CN,85,4402,NSA,5141,1,85
CN,85,4407,NSA,4863,1,92
CN,85,4414,NSA,3695,1,101
CN,85,4415,NSA,3695,1,101.1
CN,85,4424,NSA,2976,1,116
CN,85,4426,NSA,4883,1,120
CN,85,7012,NSA,4805,1,130
CN,85,7012,NSA,4970,1,130
CN,87,4506,NSA,5167,1,9
CN,87,4507,NSA,4863,1,10
