BirdID,Status,BreedGroupID,FieldPeriodID,NestWatchID,WatchDate,Month,Year,StartTime,Behaviour,ProvisioningVisit,ObsDuration,SexEstimate,Age,TerritoryID,ClutchSize,BroodSize,NoFledglings,WatchType,NestID,NestNumber,Island,Accurate,Observer,HelperNumber,GroupSize,TerritoryNumber
217,BrF,2266,21,582,01/07/1996,07,1996,11:35,F,12,60,0,2890,112,1,1,1,F,1601,1,CN,TRUE,JK,1,3,78
220,BrM,367,28,1181,02/08/1999,08,1999,12:00,F,11,60,1,4007,26,1,1,1,FI,406,2,CN,TRUE,KB,0,3,20
221,BrM,2224,21,1261,08/07/1996,07,1996,16:50,F,3,60,1,2935,45,1,1,0,F,2174,1,CN,TRUE,PE,1,4,32
293,BrM,2218,21,617,31/07/1996,07,1996,11:00,F,8,60,1,2878,35,1,1,0,FI,2889,2,CN,TRUE,PE,0,3,26.1
297,BrF,169,23,1277,27/01/1998,01,1998,07:52,F,11,90,0,3298,115,1,1,1,F,329,1,CN,TRUE,KB,2,4,80
297,BrF,259,25,417,07/09/1998,09,1998,16:50,F,9,60,0,3521,115,2,1,1,F,330,2,CN,TRUE,KB,2,4,80
298,BrM,2267,21,584,03/07/1996,07,1996,08:26,F,5,60,1,2850,115,1,1,0,FI,2168,1,CN,TRUE,JK,1,3,80
308,BrF,221,25,396,12/08/1998,08,1998,12:10,F,5,60,0,2924,53,2,2,1,FI,227,2,CN,TRUE,DR,1,4,37
308,BrF,221,25,397,16/08/1998,08,1998,15:00,F,7,60,0,2928,53,2,2,1,FI,227,2,CN,TRUE,DR,1,4,37
308,BrF,221,25,398,25/08/1998,08,1998,12:00,F,15,60,0,2937,53,2,2,1,F,227,2,CN,TRUE,DR,1,4,37
329,BrF,2267,21,584,03/07/1996,07,1996,08:26,F,2,60,0,2850,115,1,1,0,FI,2168,1,CN,TRUE,JK,1,3,80
436,BrM,396,28,1196,25/08/1999,08,1999,16:20,F,18,60,1,2449,73,1,1,1,FI,483,2,CN,TRUE,KB,0,2,51
441,BrF,212,25,387,23/08/1998,08,1998,16:50,F,6,60,0,2207,38,1,1,1,FI,3049,4,CN,TRUE,KB,0,3,28
441,BrF,212,25,388,04/09/1998,09,1998,16:10,F,12,60,0,2219,38,1,1,1,F,3049,4,CN,TRUE,KB,0,3,28
441,BrF,374,28,1195,20/08/1999,08,1999,08:55,F,15,60,0,2569,38,1,1,0,F,424,2,CN,TRUE,KB,1,3,28
443,BrF,2084,19,647,30/07/1995,07,1995,09:43,F,2,75,0,1086,12,1,1,0,FI,1593,1,CN,TRUE,JT,0,4,7
444,BrF,2218,21,617,31/07/1996,07,1996,11:00,F,11,60,0,1328,35,1,1,0,FI,2889,2,CN,TRUE,PE,0,3,26.1
444,BrF,2388,25,431,02/08/1998,08,1998,10:10,F,7,60,0,2060,35,1,1,1,FI,204,2,CN,TRUE,KB,0,2,26.1
444,BrF,2388,25,432,16/08/1998,08,1998,08:17,F,10,60,0,2074,35,1,1,1,F,204,2,CN,TRUE,KB,0,2,26.1
447,BrF,222,25,399,16/09/1998,09,1998,09:55,F,6,60,0,2230,54,1,1,1,FI,230,2,CN,TRUE,SG,0,2,38
447,BrF,385,28,1203,17/07/1999,07,1999,11:25,F,8,60,0,2534,54,1,1,1,FI,452,2,CN,TRUE,KB,0,2,38
453,BrM,231,25,434,21/08/1998,08,1998,16:30,F,9,60,1,2202,65,1,1,0,FI,245,2,CN,TRUE,DD,0,2,46.2
453,BrM,231,25,435,23/08/1998,08,1998,15:30,F,11,60,1,2204,65,1,1,0,FI,245,2,CN,TRUE,DD,0,2,46.2
453,BrM,231,25,436,04/09/1998,09,1998,08:15,F,11,60,1,2216,65,1,1,0,F,245,2,CN,TRUE,SG,0,2,46.2
454,BrF,2224,21,1261,08/07/1996,07,1996,16:50,F,4,60,0,1428,45,1,1,0,F,2174,1,CN,TRUE,PE,1,4,32
455,BrF,41,22,360,14/08/1997,08,1997,10:50,F,6,90,0,1830,48,2,2,1,F,44,1,CN,TRUE,KB,1,3,33.1
457,BrF,199,25,377,16/08/1998,08,1998,15:25,F,19,60,0,2197,16,1,1,0,FI,157,1,CN,TRUE,DR,0,2,11
457,BrF,199,25,378,23/08/1998,08,1998,16:50,F,16,60,0,2204,16,1,1,0,F,157,1,CN,TRUE,DR,0,2,11
458,BrF,197,25,374,20/07/1998,07,1998,16:15,F,6,60,0,2169,14,1,1,0,FI,348,1,CN,TRUE,KB,1,4,9
458,BrF,197,25,375,26/07/1998,07,1998,16:10,F,10,60,0,2175,14,1,1,0,F,348,1,CN,TRUE,KB,1,4,9
458,BrF,197,25,376,02/08/1998,08,1998,08:30,F,14,60,0,2182,14,1,1,0,F,348,1,CN,TRUE,KB,1,4,9
458,BrF,2205,21,599,25/07/1996,07,1996,10:05,F,21,60,0,1444,14,2,1,0,F,2170,1,CN,TRUE,PE,1,3,9
459,BrF,485,30,768,31/08/2003,08,2003,07:30,F,5,90,0,4037,55,1,1,0,FI,759,1,CN,TRUE,LB,1,4,39
464,BrF,2106,19,638,21/07/1995,07,1995,14:27,F,7,90,0,1075,52,1,1,0,FI,2214,1,CN,TRUE,JT,0,3,36
464,BrF,2106,19,681,28/07/1995,07,1995,09:00,F,8,85,0,1082,52,1,1,0,FI,2214,1,CN,TRUE,JT,0,3,36
466,BrF,220,25,394,05/09/1998,09,1998,11:15,F,4,60,0,1851,51,1,1,1,FI,225,1,CN,TRUE,SG,0,3,35
468,BrF,2115,19,668,12/09/1995,09,1995,15:33,F,9,60,0,1127,63,2,1,0,F,3344,2,CN,TRUE,JK,2,5,46
469,BrF,228,25,402,27/08/1998,08,1998,12:20,F,16,60,0,2207,62,1,1,1,FI,242,3,CN,TRUE,DR,0,2,45
469,BrF,228,25,404,06/09/1998,09,1998,08:35,F,5,60,0,2217,62,1,1,1,F,242,3,CN,TRUE,SG,0,2,45
479,BrF,68,22,356,12/08/1997,08,1997,09:35,F,6,60,0,1822,87,1,1,0,FI,83,1,CN,TRUE,DR,0,2,59
494,BrM,213,25,390,01/09/1998,09,1998,11:11,F,5,60,1,2983,40,1,1,0,FI,210,2,CN,TRUE,KB,0,2,29
494,BrM,2100,19,656,09/08/1995,08,1995,14:20,F,12,90,1,1864,40,1,1,1,FI,2210,1,CN,TRUE,JT,1,4,29
494,BrM,2220,21,616,31/07/1996,07,1996,09:55,F,11,60,1,2221,40,1,1,0,F,2165,1,CN,TRUE,PE,1,3,29
497,BrM,193,25,367,21/07/1998,07,1998,10:55,F,16,60,1,1839,8,1,1,1,FI,254,1,CN,TRUE,KB,1,3,5
497,BrM,193,25,369,04/08/1998,08,1998,08:05,F,15,60,1,1853,8,1,1,1,F,254,1,CN,TRUE,KB,1,3,5
497,BrM,354,28,1198,27/08/1999,08,1999,15:40,F,18,60,1,2241,8,1,1,0,FI,473,4,CN,TRUE,KB,0,2,5
497,BrM,450,30,729,11/08/2003,08,2003,09:21,F,11,90,1,3686,8,1,1,1,F,781,1,CN,TRUE,CE,1,3,5
