"","BirdID","Status","BreedGroupID","Mate","NoFeeds","FeedsPerHour","NestWatchID","WatchDate","Month","Year2","TerritoryID","ObsDuration","LastBTO","SexEstimate","TerritoryNumber","TQ","Observer","LastColourRing","Island","NoH","StartTime","NestNumber","SumOfFeedsPerHour","NestID","Helper01","TotalFeeds","TotalFeedsPerHour","ClutchSize","BroodSize","NoFledglings","X.UkUR","WatchType","TQcorrected","FieldPeriodID","FPID_Month","MonthlyInsects","AvgOfTQcorrected","TQc_Combined","AnnualInsects","No_M_H","No_F_H","GroupSize","MateID","TID","BGID","NID","NWID","Obs","Year","FeedsHour","LogFeedsPerHour","sqrtFeedsPerHour","NoOffspring"
"54","293","BrM",2218,444,8,8,617,2019-07-31,"7",1996,35,60,"C922351",1,26.1,-0.232436829,"PE","GX/VV","CN",0,"11:00",2,19,2889,"0",19,19,1,1,0,0,"FI",32678.94392,21,"21_7",3174,NA,32678.94392,5.504502192,0,0,3,"444","35","2218","2889","617","PE","1996",8,2.07944154167984,2.82842712474619,1
"61","308","BrF",221,216,5,5,396,2019-08-12,"8",1998,53,60,"C922366",0,37,0.238343219,"DR","RV/LX","CN",1,"12:10",2,18,227,"1",18,18,2,2,1,0,"FI",15925.58946,25,"25_8",2294,NA,15925.58946,3.409097045,0,1,4,"216","53","221","227","396","DR","1998",5,1.6094379124341,2.23606797749979,2
"62","308","BrF",221,216,7,7,397,2019-08-16,"8",1998,53,60,"C922366",0,37,0.238343219,"DR","RV/LX","CN",1,"15:00",2,19,227,"1",19,19,2,2,1,5.263157895,"FI",15925.58946,25,"25_8",2294,NA,15925.58946,3.409097045,0,1,4,"216","53","221","227","397","DR","1998",7,1.94591014905531,2.64575131106459,2
"63","308","BrF",221,216,15,15,398,2019-08-25,"8",1998,53,60,"C922366",0,37,0.238343219,"DR","RV/LX","CN",1,"12:00",2,42,227,"1",42,42,2,2,1,0,"F",15925.58946,25,"25_8",2294,NA,15925.58946,3.409097045,0,1,4,"216","53","221","227","398","DR","1998",15,2.70805020110221,3.87298334620742,2
"65","436","BrM",396,1410,18,18,1196,2019-08-25,"8",1999,73,60,"J368301",1,51,-0.194795823,"KB","BB/BX","CN",0,"16:20",2,22,483,"0",22,22,1,1,1,0,"FI",72279.05622,28,"28_8",1840,NA,72279.05622,5.123570615,0,0,2,"1410","73","396","483","1196","KB","1999",18,2.89037175789616,4.24264068711928,1
"66","441","BrF",212,1165,6,6,387,2019-08-23,"8",1998,38,60,"J368306",0,28,-0.145252459,"KB","LE/BX","CN",0,"16:50",4,13,3049,"0",13,13,1,1,1,7.692307692,"FI",39784.16647,25,"25_8",2294,NA,39784.16647,3.409097045,0,0,3,"1165","38","212","3049","387","KB","1998",6,1.79175946922805,2.44948974278318,1
"68","441","BrF",374,1165,15,15,1195,2019-08-20,"8",1999,38,60,"J368306",0,28,-0.145252459,"KB","LE/BX","CN",1,"08:55",2,27,424,"1",27,27,1,1,0,3.703703704,"F",31160.31984,28,"28_8",1840,NA,31160.31984,5.123570615,0,1,3,"1165","38","374","424","1195","KB","1999",15,2.70805020110221,3.87298334620742,1
"70","444","BrF",2388,1166,7,7,431,2019-08-02,"8",1998,35,60,"J368309",0,26.1,-0.232436829,"KB","YY/BX","CN",0,"10:10",2,14,204,"0",14,14,1,1,1,0,"FI",15842.45743,25,"25_8",2294,NA,15842.45743,3.409097045,0,0,2,"1166","35","2388","204","431","KB","1998",7,1.94591014905531,2.64575131106459,1
"71","444","BrF",2388,1166,10,10,432,2019-08-16,"8",1998,35,60,"J368309",0,26.1,-0.232436829,"KB","YY/BX","CN",0,"08:17",2,20,204,"0",20,20,1,1,1,0,"F",15842.45743,25,"25_8",2294,NA,15842.45743,3.409097045,0,0,2,"1166","35","2388","204","432","KB","1998",10,2.30258509299405,3.16227766016838,1
"72","444","BrF",2218,293,11,11,617,2019-07-31,"7",1996,35,60,"J368309",0,26.1,-0.232436829,"PE","YY/BX","CN",0,"11:00",2,19,2889,"0",19,19,1,1,0,0,"FI",32678.94392,21,"21_7",3174,NA,32678.94392,5.504502192,0,0,3,"293","35","2218","2889","617","PE","1996",11,2.39789527279837,3.3166247903554,1
"75","453","BrM",231,869,9,9,434,2019-08-21,"8",1998,65,60,"J368318",1,46.2,0.039639703,"DD","OO/AX","CN",0,"16:30",2,14,245,"0",14,14,1,1,0,0,"FI",20304.10178,25,"25_8",2294,NA,20304.10178,3.409097045,0,0,2,"869","65","231","245","434","DD","1998",9,2.19722457733622,3,1
"76","453","BrM",231,869,11,11,435,2019-08-23,"8",1998,65,60,"J368318",1,46.2,0.039639703,"DD","OO/AX","CN",0,"15:30",2,16,245,"0",16,16,1,1,0,0,"FI",20304.10178,25,"25_8",2294,NA,20304.10178,3.409097045,0,0,2,"869","65","231","245","435","DD","1998",11,2.39789527279837,3.3166247903554,1
"79","455","BrF",41,1212,6,4,360,2019-08-14,"8",1997,48,90,"J368320",0,33.1,0.052658031,"KB","YR/BX","CN",1,"10:50",1,12.66666667,44,"1",19,12.66666667,2,2,1,0,"F",36605.7735,22,"22_8",1134,NA,36605.7735,6.349060431,0,1,3,"1212","48","41","44","360","KB","1997",4,1.38629436111989,2,2
"80","455","BrF",41,1212,11,7.333333333,343,2019-07-29,"7",1997,48,90,"J368320",0,33.1,0.052658031,"KB","YR/BX","CN",1,"08:33",1,18,44,"1",27,18,2,2,1,0,"FI",36605.7735,22,"22_7",2502,NA,36605.7735,6.349060431,0,1,3,"1212","48","41","44","343","KB","1997",7.33333333333333,1.99243016469021,2.70801280148377,2
"81","457","BrF",199,868,16,16,378,2019-08-23,"8",1998,16,60,"J368322",0,11,-0.068464839,"DR","NR/BX","CN",0,"16:50",1,32,157,"0",32,32,1,1,0,0,"F",32331.42563,25,"25_8",2294,NA,32331.42563,3.409097045,0,0,2,"868","16","199","157","378","DR","1998",16,2.77258872223978,4,1
"82","457","BrF",199,868,19,19,377,2019-08-16,"8",1998,16,60,"J368322",0,11,-0.068464839,"DR","NR/BX","CN",0,"15:25",1,33,157,"0",33,33,1,1,0,0,"FI",32331.42563,25,"25_8",2294,NA,32331.42563,3.409097045,0,0,2,"868","16","199","157","377","DR","1998",19,2.94443897916644,4.35889894354067,1
"84","458","BrF",22,499,9,8.709677419,345,2019-08-03,"8",1997,14,62,"J368323",0,9,-0.04437128,"DR","NE/BX","CN",2,"11:00",1,26.12903226,120,"1",27,26.12903226,2,2,1,7.407407407,"F",49779.17188,22,"22_8",1134,NA,49779.17188,6.349060431,0,2,4,"499","14","22","120","345","DR","1997",8.70967741935484,2.16443475451323,2.95121626096767,2
"86","458","BrF",22,499,10,10,1520,2019-08-22,"8",1997,14,60,"J368323",0,9,-0.04437128,"KO","NE/BX","CN",2,"12:15",1,25,120,"1",25,25,2,2,1,0,"FL",49779.17188,22,"22_8",1134,NA,49779.17188,6.349060431,0,2,4,"499","14","22","120","1520","KO","1997",10,2.30258509299405,3.16227766016838,1
"88","458","BrF",197,499,14,14,376,2019-08-02,"8",1998,14,60,"J368323",0,9,-0.04437128,"KB","NE/BX","CN",1,"08:30",1,23,348,"1",23,23,1,1,0,4.347826087,"F",48031.71924,25,"25_8",2294,NA,48031.71924,3.409097045,0,1,4,"499","14","197","348","376","KB","1998",14,2.63905732961526,3.74165738677394,1
"89","458","BrF",2205,499,21,21,599,2019-07-25,"7",1996,14,60,"J368323",0,9,-0.04437128,"PE","NE/BX","CN",1,"10:05",1,31,2170,"1",31,31,2,1,0,0,"F",42691.06981,21,"21_7",3174,NA,42691.06981,5.504502192,0,1,3,"499","14","2205","2170","599","PE","1996",21,3.04452243772342,4.58257569495584,1
"99","469","BrF",228,607,16,16,402,2019-08-27,"8",1998,62,60,"J368360",0,45,0.097813085,"DR","NV/BX","CN",0,"12:20",3,26,242,"0",26,26,1,1,1,0,"FI",20223.20864,25,"25_8",2294,NA,20223.20864,3.409097045,0,0,2,"607","62","228","242","402","DR","1998",16,2.77258872223978,4,1
"100","479","BrF",68,866,6,6,356,2019-08-12,"8",1997,87,60,"J368370",0,59,-0.26472891,"DR","RE/BX","CN",0,"09:35",1,14,83,"0",14,14,1,1,0,0,"FI",18228.75694,22,"22_8",1134,NA,18228.75694,6.349060431,0,0,2,"866","87","68","83","356","DR","1997",6,1.79175946922805,2.44948974278318,1
"101","494","BrM",213,1347,3,3,389,2019-08-31,"8",1998,40,60,"J368400",1,29,-0.145638147,"KB","LY/RX","CN",0,"11:30",2,9,210,"0",9,9,1,1,0,0,"FI",14591.87724,25,"25_8",2294,NA,14591.87724,3.409097045,0,0,2,"1347","40","213","210","389","KB","1998",3,1.09861228866811,1.73205080756888,1
"103","494","BrM",2220,500,11,11,616,2019-07-31,"7",1996,40,60,"J368400",1,29,-0.145638147,"PE","LY/RX","CN",0,"09:55",1,21,2165,"0",21,21,1,1,0,4.761904762,"F",22255.01241,21,"21_7",3174,NA,22255.01241,5.504502192,0,0,3,"500","40","2220","2165","616","PE","1996",11,2.39789527279837,3.3166247903554,1
"105","1660","BrF",3766,497,17,17,171,2020-08-10,"8",2006,8,60,"N748976",0,5,0.059081271,"CE","OO/MX","CN",1,"09:50",1,26,1494,"1",26,26,1,1,1,0,"FI",16147.05429,75,"75_8",1111,NA,16147.05429,3.303207678,0,1,3,"497","8","3766","1494","171","CE","2006",17,2.83321334405622,4.12310562561766,1
"106","497","BrM",3766,1660,9,9,171,2020-08-10,"8",2006,8,60,"J368403",1,5,0.059081271,"CE","BB/RX","CN",1,"09:50",1,26,1494,"1",26,26,1,1,1,0,"FI",16147.05429,75,"75_8",1111,NA,16147.05429,3.303207678,0,1,3,"1660","8","3766","1494","171","CE","2006",9,2.19722457733622,3,1
"110","497","BrM",570,1605,13,8.666666667,34,2020-08-21,"8",2004,8,90,"J368403",1,5,0.059081271,"CE","BB/RX","CN",1,"09:44",1,18.66666667,968,"1",28,18.66666667,1,1,0,0,"FI",7722.062953,34,"34_8",2164,NA,7722.062953,3.188410043,0,1,3,"1605","8","570","968","34","CE","2004",8.66666666666667,2.15948424935337,2.94392028883256,1
"111","497","BrM",450,1605,13,8.666666667,757,2020-08-21,"8",2003,8,90,"J368403",1,5,0.059081271,"CE","BB/RX","CN",1,"09:44",1,19.33333333,781,"1",29,19.33333333,1,1,1,0,"FI",13202.8132,30,"30_8",1209,NA,13202.8132,3.656860326,0,1,3,"1605","8","450","781","757","CE","2003",8.66666666666667,2.15948424935337,2.94392028883256,1
"112","497","BrM",570,1605,14,9.333333333,37,2020-08-28,"8",2004,8,90,"J368403",1,5,0.059081271,"CE","BB/RX","CN",1,"08:54",1,24.66666667,968,"1",37,24.66666667,1,1,0,0,"FI",7722.062953,34,"34_8",2164,NA,7722.062953,3.188410043,0,1,3,"1605","8","570","968","37","CE","2004",9.33333333333333,2.23359222150709,3.05505046324934,1
"113","497","BrM",450,1605,14,9.333333333,763,2020-08-28,"8",2003,8,90,"J368403",1,5,0.059081271,"CE","BB/RX","CN",1,"08:54",1,24.66666667,781,"1",37,24.66666667,1,1,1,0,"FI",13202.8132,30,"30_8",1209,NA,13202.8132,3.656860326,0,1,3,"1605","8","450","781","763","CE","2003",9.33333333333333,2.23359222150709,3.05505046324934,1
"116","497","BrM",354,596,18,18,1198,2019-08-27,"8",1999,8,60,"J368403",1,5,0.059081271,"KB","BB/RX","CN",0,"15:40",4,24,473,"0",24,24,1,1,0,0,"FI",17696.45412,28,"28_8",1840,NA,17696.45412,5.123570615,0,0,2,"596","8","354","473","1198","KB","1999",18,2.89037175789616,4.24264068711928,1
"119","499","BrM",22,458,2,2,1520,2019-08-22,"8",1997,14,60,"J368405",1,9,-0.04437128,"KO","VV/RX","CN",2,"12:15",1,25,120,"1",25,25,2,2,1,0,"FL",49779.17188,22,"22_8",1134,NA,49779.17188,6.349060431,0,2,4,"458","14","22","120","1520","KO","1997",2,0.693147180559945,1.4142135623731,1
"120","499","BrM",197,458,4,4,376,2019-08-02,"8",1998,14,60,"J368405",1,9,-0.04437128,"KB","VV/RX","CN",1,"08:30",1,23,348,"1",23,23,1,1,0,4.347826087,"F",48031.71924,25,"25_8",2294,NA,48031.71924,3.409097045,0,1,4,"458","14","197","348","376","KB","1998",4,1.38629436111989,2,1
"121","499","BrM",2205,458,4,4,599,2019-07-25,"7",1996,14,60,"J368405",1,9,-0.04437128,"PE","VV/RX","CN",1,"10:05",1,31,2170,"1",31,31,2,1,0,0,"F",42691.06981,21,"21_7",3174,NA,42691.06981,5.504502192,0,1,3,"458","14","2205","2170","599","PE","1996",4,1.38629436111989,2,1
"124","499","BrM",22,458,8,7.741935484,345,2019-08-03,"8",1997,14,62,"J368405",1,9,-0.04437128,"DR","VV/RX","CN",2,"11:00",1,26.12903226,120,"1",27,26.12903226,2,2,1,7.407407407,"F",49779.17188,22,"22_8",1134,NA,49779.17188,6.349060431,0,2,4,"458","14","22","120","345","DR","1997",7.74193548387097,2.04665171885684,2.7824333745842,2
"127","500","BrF",2220,494,9,9,616,2019-07-31,"7",1996,40,60,"J368406",0,29,-0.145638147,"PE","BB/WX","CN",0,"09:55",1,21,2165,"0",21,21,1,1,0,4.761904762,"F",22255.01241,21,"21_7",3174,NA,22255.01241,5.504502192,0,0,3,"494","40","2220","2165","616","PE","1996",9,2.19722457733622,3,1
"130","502","BrF",366,215,8,8,1187,2019-08-30,"8",1999,25,60,"J368408",0,19,-0.081292776,"KB","LL/RX","CN",0,"10:00",5,16,401,"0",16,16,1,1,0,0,"FI",26161.56846,28,"28_8",1840,NA,26161.56846,5.123570615,0,0,3,"215","25","366","401","1187","KB","1999",8,2.07944154167984,2.82842712474619,1
"131","504","BrF",353,1187,7,7,1176,2019-09-12,"9",1999,5,60,"J368410",0,3.1,0.226680879,"MF","EE/RX","CN",1,"16:15",2,34,430,"1",34,34,2,2,2,2.941176471,"F",31606.99358,28,"28_9",1830,NA,31606.99358,5.123570615,0,1,3,"1187","5","353","430","1176","MF","1999",7,1.94591014905531,2.64575131106459,2
"137","507","BrM",370,1246,2,2,532,2019-08-09,"8",1999,30,60,"J368413",1,23,-0.264612884,"MF","RW/RX","CN",1,"09:15",2,11,413,"1",11,11,1,1,1,0,"F",19833.77602,28,"28_8",1840,NA,19833.77602,5.123570615,1,0,4,"1246","30","370","413","532","MF","1999",2,0.693147180559945,1.4142135623731,1
"138","507","BrM",208,1246,6,6,385,2019-08-08,"8",1998,30,60,"J368413",1,23,-0.264612884,"DR","RW/RX","CN",1,"12:05",1,18,196,"1",18,18,1,1,1,0,"F",34104.53499,25,"25_8",2294,NA,34104.53499,3.409097045,1,0,3,"1246","30","208","196","385","DR","1998",6,1.79175946922805,2.44948974278318,1
"141","507","BrM",208,1246,9,9,386,2019-08-17,"8",1998,30,60,"J368413",1,23,-0.264612884,"DR","RW/RX","CN",1,"16:00",1,21,196,"1",21,21,1,1,1,0,"F",34104.53499,25,"25_8",2294,NA,34104.53499,3.409097045,1,0,3,"1246","30","208","196","386","DR","1998",9,2.19722457733622,3,1
"146","511","BrF",219,1274,6,6,392,2019-08-08,"8",1998,49,60,"J368417",0,34,0.183772035,"DR","LV/RX","CN",1,"10:20",1,23,224,"1",23,23,1,1,0,0,"FI",23592.91093,25,"25_8",2294,NA,23592.91093,3.409097045,0,1,3,"1274","49","219","224","392","DR","1998",6,1.79175946922805,2.44948974278318,1
"147","511","BrF",219,1274,9,9,393,2019-08-17,"8",1998,49,60,"J368417",0,34,0.183772035,"DR","LV/RX","CN",1,"17:15",1,30,224,"1",30,30,1,1,0,0,"F",23592.91093,25,"25_8",2294,NA,23592.91093,3.409097045,0,1,3,"1274","49","219","224","393","DR","1998",9,2.19722457733622,3,1
"148","523","BrM",242,832,6,6,408,2019-08-12,"8",1998,83,60,"J368430",1,56,-0.122256295,"KB","BV/RX","CN",0,"11:55",2,11,275,"0",11,11,1,1,1,0,"FI",30959.14,25,"25_8",2294,NA,30959.14,3.409097045,0,0,2,"832","83","242","275","408","KB","1998",6,1.79175946922805,2.44948974278318,1
"152","524","BrF",116,634,3,3,361,2019-08-18,"8",1997,171,60,"J368431",0,114,-0.22199493,"KB","WY/RX","CN",0,"09:10",2,10,21,"0",10,10,1,1,0,0,"FI",62505.40514,22,"22_8",1134,NA,62505.40514,6.349060431,0,0,2,"634","171","116","21","361","KB","1997",3,1.09861228866811,1.73205080756888,1
"153","524","BrF",2299,634,3,3,594,2019-07-13,"7",1996,171,60,"J368431",0,114,-0.22199493,"JK","WY/RX","CN",1,"10:48",1,15,1603,"1",15,15,1,1,0,0,"FI",54097.77925,21,"21_7",3174,NA,54097.77925,5.504502192,1,0,3,"634","171","2299","1603","594","JK","1996",3,1.09861228866811,1.73205080756888,1
"154","524","BrF",279,634,4,4,426,2019-08-31,"8",1998,171,60,"J368431",0,114,-0.22199493,"KB","WY/RX","CN",1,"08:43",5,16,164,"1",16,16,1,1,0,0,"FI",25938.46576,25,"25_8",2294,NA,25938.46576,3.409097045,1,0,3,"634","171","279","164","426","KB","1998",4,1.38629436111989,2,1
"158","557","BrM",387,949,6,6,1174,2019-09-07,"9",1999,57,60,"J368464",1,41,-0.101855235,"MF","BY/RX","CN",0,"14:00",2,17,455,"0",17,17,1,1,1,0,"F",38831.26205,28,"28_9",1830,NA,38831.26205,5.123570615,0,0,2,"949","57","387","455","1174","MF","1999",6,1.79175946922805,2.44948974278318,1
"159","559","BrM",111,1043,4,2.823529412,342,2019-07-25,"7",1997,165,85,"J368466",1,108,0.271101221,"KO","GY/RX","CN",0,"10:04",1,11.29411765,12,"0",16,11.29411765,1,1,1,6.25,"FI",35159.24827,22,"22_7",2502,NA,35159.24827,6.349060431,0,0,3,"1043","165","111","12","342","KO","1997",2.82352941176471,1.03798766685167,1.68033610090363,1
"161","562","BrM",2204,823,11,11,583,2019-07-01,"7",1996,13,60,"J368469",1,8,0.230001951,"PE","NP/RX","CN",1,"16:30",1,20,1600,"1",20,20,1,1,0,0,"F",24259.80439,21,"21_7",3174,NA,24259.80439,5.504502192,1,0,3,"823","13","2204","1600","583","PE","1996",11,2.39789527279837,3.3166247903554,1
"166","596","BrF",354,497,6,6,1198,2019-08-27,"8",1999,8,60,"J854303",0,5,0.059081271,"KB","GR/RX","CN",0,"15:40",4,24,473,"0",24,24,1,1,0,0,"FI",17696.45412,28,"28_8",1840,NA,17696.45412,5.123570615,0,0,2,"497","8","354","473","1198","KB","1999",6,1.79175946922805,2.44948974278318,1
"169","597","BrM",362,840,2,2,1186,2019-08-30,"8",1999,20,60,"J854304",1,15,0.225037958,"KB","LR/RX","CN",0,"08:30",3,10,388,"0",10,10,1,1,1,10,"F",30852.67092,28,"28_8",1840,NA,30852.67092,5.123570615,0,0,4,"840","20","362","388","1186","KB","1999",2,0.693147180559945,1.4142135623731,1
"170","597","BrM",200,840,7,7,380,2019-08-30,"8",1998,20,60,"J854304",1,15,0.225037958,"KB","LR/RX","CN",0,"08:18",3,11,171,"0",11,11,1,1,0,0,"FI",44814.42545,25,"25_8",2294,NA,44814.42545,3.409097045,0,0,2,"840","20","200","171","380","KB","1998",7,1.94591014905531,2.64575131106459,1
"172","597","BrM",200,840,11,11,379,2019-08-29,"8",1998,20,60,"J854304",1,15,0.225037958,"KB","LR/RX","CN",0,"11:05",3,20,171,"0",20,20,1,1,0,0,"FI",44814.42545,25,"25_8",2294,NA,44814.42545,3.409097045,0,0,2,"840","20","200","171","379","KB","1998",11,2.39789527279837,3.3166247903554,1
"173","597","BrM",362,840,14,14,1194,2019-08-17,"8",1999,20,60,"J854304",1,15,0.225037958,"KB","LR/RX","CN",1,"09:30",3,25,388,"1",25,25,1,1,1,0,"FI",30852.67092,28,"28_8",1840,NA,30852.67092,5.123570615,0,1,4,"840","20","362","388","1194","KB","1999",14,2.63905732961526,3.74165738677394,1
"174","604","BrF",217,921,8,8,391,2019-08-09,"8",1998,47,60,"J854311",0,33,0.226870076,"DR","BW/RX","CN",1,"15:10",3,29,223,"1",29,29,1,1,0,3.448275862,"FI",22203.40632,25,"25_8",2294,NA,22203.40632,3.409097045,0,1,3,"921","47","217","223","391","DR","1998",8,2.07944154167984,2.82842712474619,1
"178","607","BrM",228,469,10,10,402,2019-08-27,"8",1998,62,60,"J854314",1,45,0.097813085,"DR","EB/RX","CN",0,"12:20",3,26,242,"0",26,26,1,1,1,0,"FI",20223.20864,25,"25_8",2294,NA,20223.20864,3.409097045,0,0,2,"469","62","228","242","402","DR","1998",10,2.30258509299405,3.16227766016838,1
