BirdID,Status,BreedGroupID,NestWatchID,WatchDate,Month,Year,StartTime,Behaviour,ProvisioningVisit,ObsDuration,SexEstimate,Age,TerritoryID,TQ,TQcorrected,ClutchSize,BroodSize,NoFledglings,WatchType,NestID,NestNumber,Island,FieldPeriodID,HelperNumber,AdditionalBirds,GroupSize,Accurate,Observer
5543,BrF,7988,2567,12/07/2018,07,2018,09:48,FeedingOffspring,8,60,0,2898,71,17438.84,17438.84,1,1,1,F,5127,1,CN,167,1,3,6,TRUE,CD
5543,BrF,7988,2580,17/07/2018,07,2018,15:15,FeedingOffspring,7,60,0,2903,71,17438.84,17438.84,1,1,1,F,5127,1,CN,167,1,3,6,TRUE,AVE
5545,BrF,6714,1375,20/08/2014,08,2014,10:34,FeedingOffspring,2,63,0,1478,177,30176.88,30176.88,1,1,1,FI,3167,2,CN,125,1,0,3,TRUE,MB
5545,BrF,6714,1465,01/09/2014,09,2014,13:53,FeedingOffspring,8,60,0,1490,177,30176.88,30176.88,1,1,1,F,3167,2,CN,125,1,0,3,TRUE,SAK
5545,BrF,6818,1514,18/02/2015,02,2015,10:12,FeedingOffspring,3,60,0,1660,177,14845.15,14845.15,1,1,0,FI,3438,1,CN,139,0,1,3,TRUE,LLD
5545,BrF,7772,2503,20/07/2017,07,2017,09:34,FeedingOffspring,6,60,0,2543,177,32073.94,32073.94,1,1,1,F,4949,1,CN,164,1,1,4,TRUE,CD
5545,BrF,8184,2674,20/07/2019,07,2019,07:49,FeedingOffspring,2,60,0,3273,177,66132.97,66132.97,1,1,,FI,5329,1,CN,173,0,0,2,TRUE,CBC
5547,BrM,7127,1567,04/09/2015,09,2015,14:37,FeedingOffspring,16,60,1,1847,100,24080.30,24080.30,2,2,2,F,3572,2,CN,142,0,1,3,TRUE,KLB
5547,BrM,7127,1608,28/08/2015,08,2015,15:12,FeedingOffspring,11,60,1,1840,100,24080.30,24080.30,2,2,2,FI,3572,2,CN,142,0,1,3,TRUE,MPD
5547,BrM,7555,2423,03/09/2016,09,2016,14:17,FeedingOffspring,9,60,1,2212,100,3030.36,3030.36,1,1,1,F,4811,2,CN,159,0,1,3,TRUE,CD
5547,BrM,7555,2428,27/08/2016,08,2016,14:24,FeedingOffspring,9,60,1,2205,100,3030.36,3030.36,1,1,1,FI,4811,2,CN,159,0,1,3,TRUE,CD
5547,BrM,7992,2639,18/08/2018,08,2018,09:02,FeedingOffspring,9,60,1,2926,100,4398.15,4398.15,1,1,1,F,5131,2,CN,167,0,1,3,TRUE,TJB
5549,BrF,5338,1055,03/09/2012,09,2012,09:01,FeedingOffspring,18,60,0,991,479,14325.46,14325.46,2,2,2,F,2608,1,CN,116,1,0,3,TRUE,VS
5549,BrF,5338,1065,28/08/2012,08,2012,12:01,FeedingOffspring,12,60,0,985,479,14325.46,14325.46,2,2,2,FI,2608,1,CN,116,1,0,3,TRUE,SAK
5549,BrF,6135,1121,30/08/2013,08,2013,09:21,FeedingOffspring,7,60,0,1352,479,59841.34,59841.34,1,1,1,F,2743,1,CN,122,0,2,4,TRUE,MB
5549,BrF,6685,1342,17/07/2014,07,2014,08:06,FeedingOffspring,2,60,0,1673,479,32451.94,32451.94,1,1,1,FI,3097,1,CN,125,0,0,2,TRUE,MB
5549,BrF,6685,1365,27/07/2014,07,2014,07:43,FeedingOffspring,18,60,0,1683,479,32451.94,32451.94,1,1,1,F,3097,1,CN,125,0,0,2,TRUE,MB
5549,BrF,7047,1568,05/09/2015,09,2015,11:00,FeedingOffspring,5,60,0,2088,479,30843.33,30843.33,1,1,1,F,3618,2,CN,142,1,0,3,TRUE,SRP
5549,BrF,7592,2437,17/08/2016,08,2016,08:12,FeedingOffspring,2,60,0,2435,479,23785.20,23785.20,1,1,1,FI,4855,1,CN,159,1,0,3,TRUE,KLB
