BirdID,Status,SexEstimate,BreedGroupID,NestWatchID,WatchDate,Month,Year,StartTime,Behaviour,ProvisioningVisit,ObsDuration,Age,TerritoryID,TQ,TQcorrected,ClutchSize,BroodSize,NoFledglings,WatchType,NestNumber,Island,FieldPeriodID,Accurate,HelperNumber,AdditionalBirds,GroupSize
1707,BrF,0,5069,813,04/08/2010,8,2010,15:20,Feeding_Offspring,11,60,3150,477,10787.55,10787.55,1,1,1,F,2,CN,104,TRUE,2,0,4
1710,BrM,1,5069,813,04/08/2010,8,2010,15:20,Feeding_Offspring,5,60,2997,477,10787.55,10787.55,1,1,1,F,2,CN,104,TRUE,2,0,4
1868,BrM,1,4988,814,05/08/2010,8,2010,14:50,Feeding_Offspring,9,60,2553,46,20869.11,20869.11,1,1,1,FI,1,CN,104,TRUE,0,1,3
4973,BrF,0,4988,814,05/08/2010,8,2010,14:50,Feeding_Offspring,18,60,1348,46,20869.11,20869.11,1,1,1,FI,1,CN,104,TRUE,0,1,3
1607,BrM,1,4968,816,09/08/2010,8,2010,09:44,Feeding_Offspring,14,60,3333,13,36751.61,36751.61,1,1,1,FI,1,CN,104,TRUE,1,1,4
4964,BrF,0,4968,816,09/08/2010,8,2010,09:44,Feeding_Offspring,11,60,1389,13,36751.61,36751.61,1,1,1,FI,1,CN,104,TRUE,1,1,4
1827,BrF,0,5000,817,09/08/2010,8,2010,11:00,Feeding_Offspring,17,60,2785,61,16505.09,16505.09,1,1,1,F,1,CN,104,TRUE,0,0,2
4934,BrM,1,5000,817,09/08/2010,8,2010,11:00,Feeding_Offspring,11,60,1431,61,16505.09,16505.09,1,1,1,F,1,CN,104,TRUE,0,0,2
1707,BrF,0,5069,818,11/08/2010,8,2010,15:10,Feeding_Offspring,10,60,3157,477,10787.55,10787.55,1,1,1,F,2,CN,104,TRUE,2,0,4
1710,BrM,1,5069,818,11/08/2010,8,2010,15:10,Feeding_Offspring,13,60,3004,477,10787.55,10787.55,1,1,1,F,2,CN,104,TRUE,2,0,4
1744,BrM,1,4999,819,14/08/2010,8,2010,12:10,Feeding_Offspring,11,60,3257,60,13703.43,13703.43,1,1,1,F,1,CN,104,TRUE,0,0,2
3453,BrF,0,4999,819,14/08/2010,8,2010,12:10,Feeding_Offspring,12,60,2129,60,13703.43,13703.43,1,1,1,F,1,CN,104,TRUE,0,0,2
1731,BrM,1,5033,820,16/08/2010,8,2010,11:50,Feeding_Offspring,6,60,2948,112,17455.03,17455.03,1,1,1,F,1,CN,104,TRUE,0,1,3
3444,BrF,0,5033,820,16/08/2010,8,2010,11:50,Feeding_Offspring,7,60,2052,112,17455.03,17455.03,1,1,1,F,1,CN,104,TRUE,0,1,3
4961,BrF,0,5070,821,18/08/2010,8,2010,11:40,Feeding_Offspring,6,60,1400,481,19284.36,19284.36,1,1,1,FI,1,CN,104,TRUE,1,0,3
5167,BrM,1,5070,821,18/08/2010,8,2010,11:40,Feeding_Offspring,4,60,1030,481,19284.36,19284.36,1,1,1,FI,1,CN,104,TRUE,1,0,3
1187,BrM,1,4962,822,19/08/2010,8,2010,15:50,Feeding_Offspring,7,60,5025,5,32515.83,32515.83,1,1,1,FI,1,CN,104,TRUE,1,0,3
5155,BrF,0,4962,822,19/08/2010,8,2010,15:50,Feeding_Offspring,12,60,1077,5,32515.83,32515.83,1,1,1,FI,1,CN,104,TRUE,1,0,3
1762,BrM,1,4970,823,19/08/2010,8,2010,16:05,Feeding_Offspring,12,60,2870,15,40723.25,40723.25,1,1,1,FI,1,CN,104,TRUE,0,0,2
4863,BrF,0,4970,823,19/08/2010,8,2010,16:05,Feeding_Offspring,8,60,1584,15,40723.25,40723.25,1,1,1,FI,1,CN,104,TRUE,0,0,2
2960,BrM,1,4959,825,11/08/2010,8,2010,14:05,Feeding_Offspring,7,60,2510,2,17769.98,17769.98,1,1,1,F,1,CN,104,TRUE,0,1,3
5267,BrF,0,4959,825,11/08/2010,8,2010,14:05,Feeding_Offspring,6,60,965,2,17769.98,17769.98,1,1,1,F,1,CN,104,TRUE,0,1,3
4868,BrF,0,5043,826,26/08/2010,8,2010,10:30,Feeding_Offspring,26,60,1588,134,12011.76,12011.76,1,1,0,F,1,CN,104,TRUE,0,1,3
1616,BrM,1,5040,827,27/08/2010,8,2010,13:30,Feeding_Offspring,4,60,3567,127,11302.76,11302.76,1,1,1,F,2,CN,104,TRUE,1,0,3
5323,BrF,0,5040,827,27/08/2010,8,2010,13:30,Feeding_Offspring,8,60,545,127,11302.76,11302.76,1,1,1,F,2,CN,104,TRUE,1,0,3
